Date,Open,High,Low,Close,Adj Close,Volume
2018-04-23,77.88,78.23,77.57,77.99,56.42,2172700
2018-04-24,78.22,78.74,77.77,78.22,56.58,4273000
2018-04-25,78.16,78.9,77.82,78.89,57.07,3282100
2018-04-26,78.87,79.92,78.53,79.84,57.76,2810000
2018-04-27,79.6,80.75,79.5,80.5,58.23,2600500
2018-04-30,80.64,80.85,80.06,80.16,57.99,2658100
2018-05-01,80.16,80.3,79.62,79.83,57.75,2423200
2018-05-02,79.84,80.37,79.57,79.98,57.86,2586200
2018-05-03,79.75,80.09,78.82,79.76,57.7,3522600
2018-05-04,79.77,80.41,79.58,79.88,57.78,3853900
2018-05-07,79.87,80.13,79.44,79.5,57.51,2901400
2018-05-08,79.31,79.39,77.63,77.88,56.34,4333400
2018-05-09,77.81,77.95,76.88,77.64,56.16,3853500
2018-05-10,78.8,79.48,77.54,78.16,56.54,4605300
2018-05-11,78.21,78.4,77.53,77.91,56.36,4231000
2018-05-14,78.07,78.22,77.36,77.83,56.3,3972500
2018-05-15,77.35,77.66,76.57,76.93,55.65,3889100
2018-05-16,76.93,77.07,75.5,76.03,55.0,5483400
2018-05-17,75.05,75.28,73.91,74.15,54.28,3474800
2018-05-18,74.27,74.55,73.13,73.8,54.02,3721000
2018-05-21,73.98,74.06,73.35,73.68,53.93,3301700
2018-05-22,73.43,74.31,73.4,74.07,54.22,2957300
2018-05-23,74.33,75.05,74.19,74.87,54.8,2901100
2018-05-24,74.87,75.8,74.64,75.74,55.44,4162700
2018-05-25,75.74,76.02,75.58,75.81,55.49,2262600
2018-05-29,75.76,77.04,75.49,76.6,56.07,4468600
2018-05-30,76.27,77.19,76.04,76.98,56.35,2620800
2018-05-31,76.94,77.57,76.46,77.16,56.48,3587800
2018-06-01,77.12,77.15,75.53,76.08,55.69,3403200
2018-06-04,76.33,76.5,75.34,75.37,55.17,3234500
2018-06-05,75.44,75.51,74.58,74.75,54.71,2497300
2018-06-06,74.72,74.86,73.0,73.14,53.54,3949500
2018-06-07,73.14,74.28,72.83,73.48,53.78,3289800
2018-06-08,73.54,73.76,72.87,73.12,53.52,3268500
2018-06-11,73.02,73.24,71.96,72.12,52.79,4922400
2018-06-12,72.13,72.85,71.98,72.48,53.05,4694200
2018-06-13,72.54,72.88,72.01,72.25,52.88,5618200
2018-06-14,72.5,73.68,72.37,73.46,53.77,5079900
2018-06-15,73.29,74.4,73.1,74.3,54.38,6493000
2018-06-18,74.28,74.65,74.04,74.41,54.47,3223900
2018-06-19,74.73,75.85,74.59,75.67,55.39,4039400
2018-06-20,76.29,76.6,75.77,76.19,55.77,3660900
2018-06-21,76.19,77.18,76.07,76.91,56.3,4198700
2018-06-22,76.9,77.67,76.76,77.43,56.68,3184200
2018-06-25,77.5,79.17,77.47,79.08,57.88,4768200
2018-06-26,78.98,79.53,78.65,78.79,57.67,4402500
2018-06-27,78.76,79.71,78.5,79.52,58.21,3978400
2018-06-28,79.75,80.15,79.1,79.23,57.99,2659400
2018-06-29,79.06,79.54,78.51,79.08,57.88,3385000
2018-07-02,79.21,79.86,78.9,79.76,58.38,2570000
2018-07-03,79.76,80.43,79.45,79.81,58.42,2568600
2018-07-05,79.96,80.62,79.61,80.61,59.0,3964600
2018-07-06,80.58,81.7,80.49,81.62,59.74,2963000
2018-07-09,81.59,81.59,78.37,78.64,57.56,4505700
2018-07-10,78.42,79.94,77.9,79.52,58.21,3763200
2018-07-11,79.71,80.58,79.69,80.38,58.84,3921000
2018-07-12,80.41,80.64,80.1,80.5,58.92,3655400
2018-07-13,80.67,80.93,79.98,80.62,59.01,3366200
2018-07-16,80.69,80.98,80.08,80.78,59.13,4171500
2018-07-17,80.94,81.0,80.54,80.65,59.03,2271400
2018-07-18,80.74,80.74,79.9,80.44,58.88,3103400
2018-07-19,80.63,81.75,80.51,81.2,59.44,3009000
2018-07-20,81.06,81.33,80.0,80.65,59.03,3013500
2018-07-23,81.23,81.23,79.67,79.97,58.54,2844900
2018-07-24,80.1,80.14,78.78,79.89,58.48,4065500
2018-07-25,79.79,80.62,79.69,80.18,58.69,2582100
2018-07-26,80.45,81.34,80.41,81.14,59.39,2812000
2018-07-27,81.0,81.7,80.75,81.09,59.35,2097200
2018-07-30,80.85,81.2,80.6,80.77,59.12,2306900
2018-07-31,81.2,81.71,80.76,81.62,59.74,3691100
2018-08-01,81.14,81.44,80.14,81.05,59.33,3478500
2018-08-02,80.63,81.2,79.51,80.45,58.89,4075600
2018-08-03,80.52,81.72,80.29,81.55,59.69,3122300
2018-08-06,81.57,82.22,80.8,81.12,59.38,3285600
2018-08-07,81.12,81.18,80.0,80.88,59.2,2629400
2018-08-08,80.62,80.9,80.18,80.43,58.87,2429900
2018-08-09,80.46,80.87,80.28,80.81,59.15,1658000
2018-08-10,80.98,81.8,80.85,80.89,59.21,3467100
2018-08-13,80.92,81.12,80.52,80.94,59.25,4051000
2018-08-14,80.97,81.53,80.78,81.22,59.45,2379000
2018-08-15,81.44,82.45,81.31,81.86,59.92,3683400
2018-08-16,80.91,81.84,80.55,81.79,60.55,3104900
2018-08-17,81.64,82.72,81.58,82.28,60.92,3090200
2018-08-20,82.38,82.57,81.62,81.81,60.57,2643600
2018-08-21,81.71,81.78,80.83,81.28,60.18,2623400
2018-08-22,81.4,81.8,80.54,80.83,59.84,3050000
2018-08-23,80.73,81.45,80.67,80.88,59.88,1828100
2018-08-24,81.07,81.49,80.66,81.41,60.27,2296600
2018-08-27,81.42,81.59,80.3,80.59,59.67,2559200
2018-08-28,80.44,80.62,80.16,80.35,59.49,2307900
2018-08-29,80.49,80.78,80.19,80.73,59.77,2322700
2018-08-30,80.96,81.45,80.64,81.32,60.21,2738700
2018-08-31,81.3,81.8,80.87,81.24,60.15,3837400
2018-09-04,81.38,81.88,81.24,81.42,60.28,2887100
2018-09-05,81.51,83.3,81.51,83.19,61.59,4884700
2018-09-06,82.62,83.77,82.62,83.47,61.8,3213600
2018-09-07,82.82,83.19,81.94,82.47,61.06,3113000
2018-09-10,82.72,83.23,82.26,82.31,60.94,4512800
2018-09-11,82.44,82.8,81.27,81.38,60.25,4085500
2018-09-12,81.23,81.5,80.61,80.89,59.89,4646300
2018-09-13,80.91,82.21,80.55,82.15,60.82,4725200
2018-09-14,81.99,82.0,81.04,81.7,60.49,3102700
2018-09-17,81.77,82.14,81.26,82.08,60.77,3052100
2018-09-18,82.44,82.5,81.66,81.92,60.65,4191000
2018-09-19,81.89,81.96,79.62,80.09,59.3,4469600
2018-09-20,80.0,80.74,79.27,80.62,59.69,4074900
2018-09-21,80.5,80.92,78.53,79.82,59.1,15566200
2018-09-24,79.71,79.97,79.43,79.61,58.94,3633700
2018-09-25,79.6,79.7,78.55,78.81,58.35,4748700
2018-09-26,78.8,79.25,78.04,78.09,57.81,5169800
2018-09-27,78.0,79.32,78.0,78.94,58.44,3256000
2018-09-28,79.13,80.06,79.1,80.02,59.24,4540900
2018-10-01,79.91,80.0,79.19,79.55,58.9,2727200
2018-10-02,79.93,80.75,79.91,80.42,59.54,2509500
2018-10-03,80.34,80.61,78.52,79.19,58.63,4127400
2018-10-04,79.11,80.03,78.56,79.94,59.18,3620300
2018-10-05,79.9,81.72,79.83,81.4,60.26,4824800
2018-10-08,81.5,82.95,81.35,82.14,60.81,4450200
2018-10-09,82.27,82.69,81.81,82.25,60.89,4204200
2018-10-10,82.2,83.31,81.83,81.88,60.62,5042100
2018-10-11,82.15,82.41,79.67,79.98,59.21,6074700
2018-10-12,79.77,80.11,79.01,79.99,59.22,5821700
2018-10-15,79.92,80.85,79.71,80.13,59.32,3018400
2018-10-16,80.05,81.41,79.75,80.94,59.92,3333200
2018-10-17,80.82,81.07,80.19,80.77,59.8,2670600
2018-10-18,81.49,81.74,80.91,81.26,60.16,4274200
2018-10-19,81.25,83.42,81.23,82.75,61.26,4395800
2018-10-22,83.02,83.21,82.33,82.64,61.18,4275800
2018-10-23,82.97,84.03,82.21,82.3,60.93,4882800
2018-10-24,82.64,85.08,82.28,84.75,62.75,4890200
2018-10-25,84.5,84.55,83.41,83.64,61.92,6787900
2018-10-26,84.02,84.64,81.42,81.89,60.63,5326900
2018-10-29,82.09,83.62,81.88,83.46,61.79,4157900
2018-10-30,83.8,84.23,82.63,83.83,62.06,2996000
2018-10-31,83.22,83.35,82.04,82.63,61.18,4084000
2018-11-01,82.57,82.63,80.96,81.66,60.46,6994300
2018-11-02,83.41,83.83,80.89,82.59,61.15,7038400
2018-11-05,83.08,83.84,82.68,83.58,61.88,3057700
2018-11-06,83.66,84.45,83.44,84.33,62.43,2642900
2018-11-07,84.75,84.78,83.59,84.7,62.71,2981500
2018-11-08,84.74,85.02,83.33,84.33,62.43,3002400
2018-11-09,84.5,85.77,84.25,85.58,63.36,4432500
2018-11-12,85.25,86.96,85.2,85.92,63.61,3250900
2018-11-13,85.9,86.62,85.3,86.35,63.93,2833200
2018-11-14,85.9,86.95,85.65,86.42,63.98,3860600
2018-11-15,84.84,86.29,84.04,86.14,64.47,4481100
2018-11-16,86.44,87.1,85.89,86.68,64.87,3351200
2018-11-19,86.58,87.71,86.5,87.64,65.59,4114400
2018-11-20,88.07,89.23,87.8,88.52,66.25,6879300
2018-11-21,88.05,88.18,86.12,86.45,64.7,3640300
2018-11-23,86.62,86.99,86.2,86.75,64.92,1448300
2018-11-26,86.7,87.3,86.26,86.98,65.1,2169100
2018-11-27,87.02,88.0,86.53,87.83,65.73,2383400
2018-11-28,87.7,87.88,86.91,87.6,65.56,2950200
2018-11-29,87.61,88.06,86.65,87.6,65.56,2940100
2018-11-30,87.79,88.73,87.21,88.57,66.29,4829300
2018-12-03,88.0,89.63,87.2,89.62,67.07,3904800
2018-12-04,89.76,90.7,89.63,90.05,67.39,5598100
2018-12-06,90.5,90.64,88.36,89.83,67.23,4758300
2018-12-07,89.95,90.55,89.22,89.99,67.35,4985100
2018-12-10,90.16,90.66,88.8,90.51,67.74,3904000
2018-12-11,90.5,90.98,89.74,90.79,67.95,4707000
2018-12-12,90.79,91.25,89.52,89.6,67.06,5225800
2018-12-13,89.78,91.25,89.78,90.9,68.03,4180900
2018-12-14,91.0,91.35,90.18,90.75,67.92,3651900
2018-12-17,91.0,91.3,87.64,88.09,65.93,5527300
2018-12-18,88.43,89.23,87.24,87.66,65.6,4224100
2018-12-19,87.85,88.32,86.73,87.23,65.28,4832800
2018-12-20,87.4,89.11,86.37,88.14,65.96,4622300
2018-12-21,87.86,90.25,87.51,87.67,65.61,6798600
2018-12-24,87.66,88.39,83.26,83.91,62.8,2752700
2018-12-26,84.0,85.27,82.77,85.25,63.8,2616900
2018-12-27,85.39,85.96,83.93,85.96,64.33,3081700
2018-12-28,86.12,87.18,85.77,86.12,64.45,2447500
2018-12-31,86.34,86.6,85.31,86.3,64.59,2240100
2019-01-02,86.11,86.19,84.3,84.7,63.39,2857400
2019-01-03,84.76,85.6,84.06,84.67,63.37,2959700
2019-01-04,84.16,85.45,84.06,85.37,63.89,3278100
2019-01-07,84.85,85.39,84.33,85.01,63.62,3060200
2019-01-08,85.04,86.17,84.5,86.08,64.42,2350500
2019-01-09,84.96,86.0,84.34,84.81,63.47,3264400
2019-01-10,85.05,85.59,84.63,85.27,63.82,3758000
2019-01-11,85.21,85.21,84.21,84.61,63.32,3082400
2019-01-14,84.32,84.32,82.46,83.66,62.61,3931000
2019-01-15,83.6,85.46,83.33,85.14,63.72,2722900
2019-01-16,84.72,85.38,84.34,85.27,63.82,2279100
2019-01-17,85.29,85.77,84.92,85.64,64.09,1895700
